AwardID,AwardTitle,Startdate,Enddate,AwardAmount,Type,Investigators,Institutions
1400009,A Novel Approach to Multistage Decision Making under Uncertainty,8/1/14,7/31/17,250000,Standard Grant,Oleg Prokopyev;Andrew Schaefer;,University of Pittsburgh
1400017,Application of Photosynthetic Proteins in a Field-Effect Transistor for Low Light Intensity Detection,5/15/14,4/30/17,310671,Standard Grant,Arash Takshi;Jing Wang;,University of South Florida
1400018,Dynamic Structure-Property Evolution at the Tendon-to-Bone Insertion,5/15/14,4/30/17,430000,Standard Grant,Kara Peters;Shadow Huang;Mark Pankow;,North Carolina State University
1400019,Kent State Informal Analysis Seminar,1/1/14,12/31/15,45000,Standard Grant,Fedor Nazarov;Artem Zvavitch;Dmitry Ryabogin;Benjamin Jaye;,Kent State University
1400027,"Topics in Dynamical Systems: Attractors, Dimension, Lattice Models",8/1/14,7/31/17,78257,Continuing grant,Yakov Pesin;,Pennsylvania State Univ University Park
1400050,Crowdsourcing for Engineering Systems Design: Theoretical and Experimental Studies,7/1/14,6/30/17,400580,Standard Grant,Karthik Kannan;Jitesh Panchal;,Purdue University
1400052,Enhancing Efficiency of Atom Transfer Radical Polymerization,6/15/14,5/31/17,195000,Continuing grant,Krzysztof Matyjaszewski;,Carnegie-Mellon University
1400055,"Atlanta Lecture Series in Combinatorics and Graph Theory, 2014/2015",4/15/14,5/31/15,22050,Standard Grant,Ronald Gould;Xingxing Yu;Guantao Chen;,Georgia Tech Research Corporation
1400063,Whittaker functionals of automorphic forms,6/1/14,5/31/17,160000,Standard Grant,Zhengyu Mao;,Rutgers University Newark
1400065,Collaborative Research: Integration of Implantable MEMS Sensors and Computational Modeling to Assess Mechanical Regulation of Bone Regeneration,7/1/14,6/30/17,265783,Standard Grant,Robert Guldberg;,Georgia Tech Research Corporation
1400073,Dirac-type problems for hypergraphs,8/15/14,7/31/17,99476,Standard Grant,Yi Zhao;,"Georgia State University Research Foundation, Inc."
1400077,Processing Mechanically Reliable Flexible Organic Electronic Films,8/15/14,7/31/17,420002,Standard Grant,Samuel Graham;Ting Zhu;Olivier Pierron;,Georgia Tech Research Corporation
1400098,"Conference on Bijective and Algebraic Combinatorics, March 24-25, 2014.",2/1/14,7/31/14,12000,Standard Grant,Miklos Bona;Vincent Vatter;,University of Florida
1400100,Bio-inspired Fiber-Optics System based on Crayfish Escape Response for Ultrafast Adaptive Sensing,8/1/14,7/31/17,240000,Standard Grant,Mable Fok;,University of Georgia Research Foundation Inc
1400142,Enabling Nanomanufacturing via Fast Optical Nanopatterning,7/1/14,6/30/17,549231,Standard Grant,Rajesh Menon;Trisha Andrew;,University of Utah
1400164,GOALI: Optimizing the Design of Ocean Wave Energy Farms,6/15/14,5/31/17,400000,Standard Grant,Kathleen Edwards;Shalinee Kishore;Rick Blum;Lawrence Snyder;,Lehigh University
1400167,Combining Optimality and Correctness in Control Systems,8/1/14,7/31/17,349999,Standard Grant,Calin Belta;,Trustees of Boston University
1400168,Entropy and Singular Solutions for Conservation Laws; Pressureless Gas Dynamics and other applications,5/1/14,4/30/16,37000,Standard Grant,Adrian Tudorascu;Charis Tsikkou;,West Virginia University Research Corporation
